PLAYER,TEAM,OPP,OPP_DRTG,SPREAD,PROP,SSN,L10,PROJ,L10_FG%,GTD,MIN
Jaden Ivey,DET,ORL,108.7,-8.5,PTS,8.2,9.0,9.4,0.408,,16.8
Jaden Ivey,DET,ORL,108.7,-8.5,REB,2.2,3.3,3.1,0.408,,16.8
Jaden Ivey,DET,ORL,108.7,-8.5,AST,1.6,2.3,2.2,0.408,,16.8
Shai Gilgeous-Alexander,OKC,PHX,116.2,-17.5,PTS,31.1,29.0,32.2,0.567,,33.2
Shai Gilgeous-Alexander,OKC,PHX,116.2,-17.5,REB,4.3,3.3,4.0,0.567,,33.2
Shai Gilgeous-Alexander,OKC,PHX,116.2,-17.5,AST,6.6,6.5,7.1,0.567,,33.2
Chet Holmgren,OKC,PHX,116.2,-17.5,PTS,17.1,15.8,17.6,0.579,,28.9
Chet Holmgren,OKC,PHX,116.2,-17.5,REB,8.9,7.9,9.0,0.579,,28.9
Chet Holmgren,OKC,PHX,116.2,-17.5,AST,1.7,1.4,1.6,0.579,,28.9
Jalen Williams,OKC,PHX,116.2,-17.5,PTS,17.1,16.7,18.2,0.53,,28.4
Jalen Williams,OKC,PHX,116.2,-17.5,REB,4.6,4.1,4.6,0.53,,28.4
Jalen Williams,OKC,PHX,116.2,-17.5,AST,5.5,4.9,5.6,0.53,,28.4
Luguentz Dort,OKC,PHX,116.2,-17.5,PTS,8.3,8.3,9.0,0.484,,26.8
Luguentz Dort,OKC,PHX,116.2,-17.5,REB,3.6,2.3,3.0,0.484,,26.8
Luguentz Dort,OKC,PHX,116.2,-17.5,AST,1.2,1.1,1.2,0.484,,26.8
Cason Wallace,OKC,PHX,116.2,-17.5,PTS,8.6,8.3,9.1,0.476,,26.6
Cason Wallace,OKC,PHX,116.2,-17.5,REB,3.1,2.7,3.1,0.476,,26.6
Cason Wallace,OKC,PHX,116.2,-17.5,AST,2.6,1.7,2.2,0.476,,26.6
Ajay Mitchell,OKC,PHX,116.2,-17.5,PTS,13.6,10.2,12.5,0.482,,25.8
Ajay Mitchell,OKC,PHX,116.2,-17.5,REB,3.3,2.8,3.2,0.482,,25.8
Ajay Mitchell,OKC,PHX,116.2,-17.5,AST,3.6,3.4,3.8,0.482,,25.8
Isaiah Hartenstein,OKC,PHX,116.2,-17.5,PTS,9.2,6.4,8.1,0.583,,24.2
Isaiah Hartenstein,OKC,PHX,116.2,-17.5,REB,9.4,9.9,10.5,0.583,,24.2
Isaiah Hartenstein,OKC,PHX,116.2,-17.5,AST,3.5,3.7,3.9,0.583,,24.2
Aaron Wiggins,OKC,PHX,116.2,-17.5,PTS,9.4,6.4,8.2,0.446,,21.8
Aaron Wiggins,OKC,PHX,116.2,-17.5,REB,3.1,1.5,2.3,0.446,,21.8
Aaron Wiggins,OKC,PHX,116.2,-17.5,AST,1.7,1.1,1.4,0.446,,21.8
Isaiah Joe,OKC,PHX,116.2,-17.5,PTS,11.1,11.5,12.2,0.521,,21.2
Isaiah Joe,OKC,PHX,116.2,-17.5,REB,2.5,1.7,2.2,0.521,,21.2
Isaiah Joe,OKC,PHX,116.2,-17.5,AST,1.3,0.7,1.0,0.521,,21.2
Jaylin Williams,OKC,PHX,116.2,-17.5,PTS,7.2,5.8,6.9,0.474,,19.6
Jaylin Williams,OKC,PHX,116.2,-17.5,REB,5.5,5.6,6.0,0.474,,19.6
Jaylin Williams,OKC,PHX,116.2,-17.5,AST,2.4,1.8,2.2,0.474,,19.6
Alex Caruso,OKC,PHX,116.2,-17.5,PTS,6.2,4.5,5.6,0.41,,18.2
Alex Caruso,OKC,PHX,116.2,-17.5,REB,2.8,2.6,2.9,0.41,,18.2
Alex Caruso,OKC,PHX,116.2,-17.5,AST,2.0,2.0,2.2,0.41,,18.2
Jared McCain,OKC,PHX,116.2,-17.5,PTS,10.4,6.7,8.8,0.444,,18.0
Jared McCain,OKC,PHX,116.2,-17.5,REB,2.1,1.6,1.9,0.444,,18.0
Jared McCain,OKC,PHX,116.2,-17.5,AST,0.9,1.0,1.0,0.444,,18.0
Nikola Topić,OKC,PHX,116.2,-17.5,PTS,5.2,0.0,5.6,0.431,,16.0
Nikola Topić,OKC,PHX,116.2,-17.5,REB,1.9,0.0,2.1,0.431,,16.0
Nikola Topić,OKC,PHX,116.2,-17.5,AST,4.4,0.0,4.8,0.431,,16.0
Payton Sandfort,OKC,PHX,116.2,-17.5,PTS,8.8,0.0,9.5,0.5,,15.8
Payton Sandfort,OKC,PHX,116.2,-17.5,REB,2.5,0.0,2.7,0.5,,15.8
Kenrich Williams,OKC,PHX,116.2,-17.5,PTS,6.5,5.6,6.4,0.397,,15.3
Kenrich Williams,OKC,PHX,116.2,-17.5,REB,3.3,3.7,3.8,0.397,,15.3
Kenrich Williams,OKC,PHX,116.2,-17.5,AST,1.4,1.4,1.5,0.397,,15.3
Collin Gillespie,PHX,OKC,104.9,17.5,PTS,12.7,8.2,10.8,0.333,,28.5
Collin Gillespie,PHX,OKC,104.9,17.5,REB,4.1,3.6,4.1,0.333,,28.5
Collin Gillespie,PHX,OKC,104.9,17.5,AST,4.6,3.5,4.3,0.333,,28.5
Devin Booker,PHX,OKC,104.9,17.5,PTS,26.1,27.7,29.2,0.471,,33.5
Devin Booker,PHX,OKC,104.9,17.5,REB,3.9,3.5,4.0,0.471,,33.5
Devin Booker,PHX,OKC,104.9,17.5,AST,6.0,6.8,7.0,0.471,,33.5
Dillon Brooks,PHX,OKC,104.9,17.5,PTS,20.2,16.6,19.5,0.411,,30.4
Dillon Brooks,PHX,OKC,104.9,17.5,REB,3.6,3.4,3.8,0.411,,30.4
Dillon Brooks,PHX,OKC,104.9,17.5,AST,1.8,1.8,1.9,0.411,,30.4
Jalen Green,PHX,OKC,104.9,17.5,PTS,17.8,19.0,20.0,0.49,,25.9
Jalen Green,PHX,OKC,104.9,17.5,REB,3.6,3.7,4.0,0.49,,25.9
Jalen Green,PHX,OKC,104.9,17.5,AST,2.8,3.3,3.3,0.49,,25.9
Jordan Goodwin,PHX,OKC,104.9,17.5,PTS,8.7,9.3,9.8,0.452,GTD,22.5
Jordan Goodwin,PHX,OKC,104.9,17.5,REB,4.9,5.5,5.7,0.452,GTD,22.5
Jordan Goodwin,PHX,OKC,104.9,17.5,AST,2.2,2.1,2.3,0.452,GTD,22.5
Mark Williams,PHX,OKC,104.9,17.5,PTS,11.7,9.4,11.1,0.535,GTD,23.6
Mark Williams,PHX,OKC,104.9,17.5,REB,8.0,7.3,8.2,0.535,GTD,23.6
Mark Williams,PHX,OKC,104.9,17.5,AST,1.0,0.4,0.7,0.535,GTD,23.6
Oso Ighodaro,PHX,OKC,104.9,17.5,PTS,6.5,7.8,7.9,0.714,,22.1
Oso Ighodaro,PHX,OKC,104.9,17.5,REB,5.1,6.4,6.4,0.714,,22.1
Oso Ighodaro,PHX,OKC,104.9,17.5,AST,2.3,2.7,2.7,0.714,,22.1
Royce O'Neale,PHX,OKC,104.9,17.5,PTS,9.8,8.9,10.0,0.475,,28.4
Royce O'Neale,PHX,OKC,104.9,17.5,REB,4.8,4.0,4.7,0.475,,28.4
Royce O'Neale,PHX,OKC,104.9,17.5,AST,2.7,1.8,2.3,0.475,,28.4
Ryan Dunn,PHX,OKC,104.9,17.5,PTS,5.8,6.5,6.7,0.529,,19.4
Ryan Dunn,PHX,OKC,104.9,17.5,REB,4.2,5.4,5.3,0.529,,19.4
Ryan Dunn,PHX,OKC,104.9,17.5,AST,1.5,1.8,1.8,0.529,,19.4
Paolo Banchero,ORL,DET,121.2,8.5,PTS,22.2,19.0,21.9,0.444,,34.8
Paolo Banchero,ORL,DET,121.2,8.5,REB,8.4,8.6,9.2,0.444,,34.8
Paolo Banchero,ORL,DET,121.2,8.5,AST,5.2,5.9,6.1,0.444,,34.8
Desmond Bane,ORL,DET,121.2,8.5,PTS,20.1,18.2,20.5,0.468,,33.6
Desmond Bane,ORL,DET,121.2,8.5,REB,4.1,3.4,4.0,0.468,,33.6
Desmond Bane,ORL,DET,121.2,8.5,AST,4.1,3.6,4.1,0.468,,33.6
Franz Wagner,ORL,DET,121.2,8.5,PTS,20.6,0.0,22.2,0.481,,30.0
Franz Wagner,ORL,DET,121.2,8.5,REB,5.2,0.0,5.6,0.481,,30.0
Franz Wagner,ORL,DET,121.2,8.5,AST,3.3,0.0,3.6,0.481,,30.0
Anthony Black,ORL,DET,121.2,8.5,PTS,15.0,8.7,12.1,0.33,,29.8
Anthony Black,ORL,DET,121.2,8.5,REB,3.8,2.7,3.4,0.33,,29.8
Anthony Black,ORL,DET,121.2,8.5,AST,3.7,2.1,3.0,0.33,,29.8
Wendell Carter Jr.,ORL,DET,121.2,8.5,PTS,11.8,11.4,12.5,0.514,,29.3
Wendell Carter Jr.,ORL,DET,121.2,8.5,REB,7.4,6.8,7.6,0.514,,29.3
Wendell Carter Jr.,ORL,DET,121.2,8.5,AST,2.0,1.1,1.6,0.514,,29.3
Jalen Suggs,ORL,DET,121.2,8.5,PTS,13.8,13.6,14.8,0.422,,27.6
Jalen Suggs,ORL,DET,121.2,8.5,REB,3.9,4.2,4.4,0.422,,27.6
Jalen Suggs,ORL,DET,121.2,8.5,AST,5.5,6.5,6.6,0.422,,27.6
Tristan Da Silva,ORL,DET,121.2,8.5,PTS,9.9,10.3,11.0,0.461,,24.7
Tristan Da Silva,ORL,DET,121.2,8.5,REB,3.7,3.3,3.7,0.461,,24.7
Tristan Da Silva,ORL,DET,121.2,8.5,AST,1.6,2.2,2.1,0.461,,24.7
Jevon Carter,ORL,DET,121.2,8.5,PTS,7.2,5.4,6.6,0.449,,20.4
Jevon Carter,ORL,DET,121.2,8.5,REB,2.1,1.4,1.8,0.449,,20.4
Jevon Carter,ORL,DET,121.2,8.5,AST,2.3,1.8,2.2,0.449,,20.4
Tyus Jones,ORL,DET,121.2,8.5,PTS,3.0,2.4,2.9,0.375,,15.7
Tyus Jones,ORL,DET,121.2,8.5,REB,1.1,1.3,1.3,0.375,,15.7
Tyus Jones,ORL,DET,121.2,8.5,AST,2.4,1.3,1.9,0.375,,15.7
Goga Bitadze,ORL,DET,121.2,8.5,PTS,5.9,7.0,7.1,0.628,,15.2
Goga Bitadze,ORL,DET,121.2,8.5,REB,5.0,6.2,6.2,0.628,,15.2
Goga Bitadze,ORL,DET,121.2,8.5,AST,1.3,1.3,1.4,0.628,,15.2
