"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Luka Doncic","Lal","*","F-G","27","53","35.5","37.5","15.5","540","0.774","615","0.576","553","0.36","0.559","0.613","32.5","7.9","8.4","1.5","0.5","4","40.4","40.9","48.8","14.6","119.9","110"
"","Shai Gilgeous-Alexander","Okc","*","G","27.7","54","33.5","33.4","9.7","497","0.895","822","0.601","243","0.383","0.595","0.667","31.7","4.5","6.6","1.4","0.8","2.1","36.2","38.3","42.8","11.7","134.1","106.1"
"","Anthony Edwards","Min","*","G","24.6","55","35.5","31.5","11.8","393","0.794","658","0.553","475","0.402","0.574","0.618","29.3","5.1","3.7","1.4","0.8","2.7","34.4","33","38.1","9.2","118.4","112.1"
"","Tyrese Maxey","Phi","*","G","25.3","61","38.3","29.9","10","373","0.893","794","0.521","542","0.373","0.537","0.589","29","4.1","6.7","2","0.8","2.4","33.1","35.6","39.7","9.7","121","114.1"
"","Nikola Jokic","Den","*","C","31.1","49","34.7","31.4","17.5","388","0.832","633","0.643","236","0.394","0.629","0.681","28.9","12.5","10.3","1.3","0.8","3.8","41.4","39.2","51.8","17.9","135.6","107.7"
"","Donovan Mitchell","Cle","*","G","29.5","57","33.4","32.7","12.8","357","0.854","632","0.578","528","0.367","0.566","0.614","28.4","4.5","5.8","1.6","0.3","3","32.9","34.2","38.7","10.8","120.4","110.9"
"","Jaylen Brown","Bos","*","G-F","29.4","58","34","36.2","14","404","0.78","929","0.527","333","0.348","0.526","0.571","28.3","7.1","5.1","1","0.4","3.6","35.5","33.5","40.6","11.9","113.7","106.9"
"","Kawhi Leonard","Lac","*","F","34.7","50","32.5","33.5","9.6","330","0.906","633","0.566","341","0.372","0.563","0.624","27.9","6.4","3.7","2","0.5","2.1","34.3","31.7","38.1","10.7","124","112.9"
"","Giannis Antetokounmpo","Mil","*","F","31.3","34","29","36.3","16.7","333","0.649","509","0.658","43","0.349","0.648","0.666","27.4","9.8","5.4","1","0.7","3.3","37.1","32.8","42.6","15.6","126.4","109.4"
"","Stephen Curry","Gol","*","G","38","39","31.3","32.7","13","204","0.931","296","0.584","448","0.391","0.585","0.636","27.2","3.5","4.8","1.1","0.4","2.8","30.7","32.1","35.6","9.8","119.7","113.5"
"","Lauri Markkanen","Uta","*","F-C","28.8","42","34.3","28.2","7.3","268","0.896","481","0.559","324","0.355","0.548","0.608","26.7","6.9","2.1","1","0.5","1.5","33.6","28.9","35.7","8.5","122.8","120.1"
"","Joel Embiid","Phi","*","C-F","32","33","31.2","33.8","14","282","0.858","467","0.546","133","0.316","0.53","0.606","26.6","7.5","3.9","0.6","1.1","3","34.2","30.5","38.1","11.8","119.4","112"
"","Jalen Brunson","Nyk","*","G","29.5","61","34.9","30.3","10.4","346","0.838","768","0.517","454","0.377","0.535","0.581","26.2","3.4","6.5","0.7","0.1","2.3","29.6","32.7","36.1","9.6","121.4","112"
"","Kevin Durant","Hou","*","F","37.4","61","36.6","27.3","15.2","371","0.887","739","0.564","351","0.407","0.579","0.635","26.1","5.5","4.5","0.9","0.9","3.2","31.6","30.6","36.1","9.4","123.6","111.9"
"","Jamal Murray","Den","*","G","29","60","35","28.6","11.3","310","0.877","656","0.52","445","0.427","0.569","0.616","25.4","4.4","7.2","0.9","0.4","2.3","29.8","32.6","37","10.6","124.4","116.5"
"","James Harden","Lac","","G","36.5","44","35.4","31.2","17.4","374","0.901","382","0.492","389","0.347","0.506","0.598","25.4","4.8","8.1","1.3","0.4","3.7","30.2","33.5","38.4","11.3","119.2","114.3"
"","Cade Cunningham","Det","*","G","24.5","57","35","30.8","16.2","366","0.809","769","0.507","340","0.35","0.513","0.564","25.1","5.6","9.9","1.4","0.9","3.8","30.8","35.1","40.7","12.8","117.4","105"
"","Devin Booker","Pho","*","G","29.4","49","33.4","31.5","15.2","381","0.869","607","0.511","281","0.32","0.501","0.578","24.9","4","6.1","0.9","0.3","3.2","28.9","31","35","10.1","117.4","112"
"","Deni Avdija","Por","*","F","25.2","50","33.3","29.1","18.8","452","0.803","502","0.536","308","0.338","0.525","0.601","24.3","7","6.7","0.8","0.6","3.8","31.2","30.9","37.9","12.5","119.1","111.1"
"","Victor Wembanyama","San","*","F-C","22.2","51","29.3","31.6","13.7","368","0.815","554","0.578","272","0.36","0.565","0.625","24.2","11.1","2.9","1","3","2.6","35.3","27.1","38.2","12.6","120.3","100"
"","Michael Porter Jr.","Bro","*","F","27.7","52","32.5","30.4","11.3","228","0.86","473","0.567","485","0.363","0.555","0.595","24.2","7.1","3","1.1","0.3","2.3","31.3","27.3","34.3","9.9","114.2","114.3"
"","Pascal Siakam","Ind","*","F","31.9","55","33.5","29.6","10.5","343","0.682","755","0.527","265","0.362","0.531","0.563","24","6.7","3.9","1.1","0.4","2.2","30.6","27.8","34.5","10.2","111.3","113.9"
"","Keyonte George","Uta","*","G","22.3","53","33.3","28.1","15.9","377","0.891","511","0.515","359","0.37","0.532","0.609","23.8","3.7","6.2","1.1","0.3","3.1","27.5","30","33.7","9.8","118","119.8"
"","Austin Reaves","Lal","*","G","27.8","39","33.6","27.5","16.7","291","0.873","331","0.586","251","0.375","0.576","0.651","23.7","4.8","5.5","1.1","0.4","3","28.5","29.2","33.9","10.2","123.8","113.1"
"","Jalen Johnson","Atl","*","F","24.2","58","35.2","27.2","16.4","331","0.782","733","0.548","261","0.345","0.54","0.585","23","10.4","7.9","1.3","0.5","3.4","33.4","30.9","41.3","14","116.4","109.1"
"","Norman Powell","Mia","*","G","32.8","49","30","27.5","11.4","278","0.827","420","0.543","356","0.39","0.563","0.614","22.5","3.6","2.6","1.2","0.2","2","26.1","25.1","28.7","7.9","116.3","109.3"
"","Jaren Jackson Jr.","Uta","*","F-C","26.5","3","24.1","36.1","12.4","16","0.875","34","0.559","15","0.333","0.541","0.598","22.3","4.3","2.7","2","0.3","2.3","26.7","25","29.3","10.6","110.6","108.5"
"","Paolo Banchero","Orl","*","F","23.3","53","34.8","27.5","15.4","413","0.772","652","0.514","203","0.31","0.502","0.568","22.2","8.6","5","0.7","0.6","2.9","30.8","27.2","35.8","11.3","112.2","110"
"","Tyler Herro","Mia","*","G","26.1","20","30.6","26","10.5","72","0.917","197","0.563","127","0.402","0.579","0.62","22.1","4.6","3.7","0.8","0.4","1.9","26.6","25.8","30.3","9.4","119.5","110.7"
"","Trey Murphy III","Nor","*","F","25.7","57","35.4","23.1","9.9","216","0.889","437","0.572","486","0.385","0.575","0.615","22","5.6","3.8","1.5","0.3","1.8","27.6","25.8","31.4","8.8","123.3","116.4"
"","Zion Williamson","Nor","*","F","25.7","49","29.5","26.9","13.3","371","0.717","666","0.589","4","0.25","0.587","0.632","21.5","5.9","3.3","1","0.6","2.1","27.4","24.8","30.7","10.1","125.1","114.9"
"","Brandon Ingram","Tor","*","F","28.5","62","34","27.2","12.6","284","0.82","767","0.506","294","0.367","0.518","0.562","21.5","5.7","3.8","0.8","0.8","2.5","27.2","25.3","31","9.1","109.2","111.4"
"","LeBron James","Lal","*","F","41.2","44","33.1","28.1","16","231","0.745","501","0.581","201","0.313","0.549","0.587","21.4","5.6","7","1.1","0.6","3","27.1","28.4","34.1","11.4","116","114.8"
"","Shaedon Sharpe","Por","*","G","22.8","48","30","30.3","14.5","194","0.784","550","0.518","297","0.34","0.515","0.55","21.4","4.4","2.6","1.4","0.1","3","25.8","24","28.4","8.3","105.3","113.2"
"","Jonathan Kuminga","Atl","*","F","23.4","3","26.5","25.5","20.3","22","0.773","22","0.727","9","0.556","0.758","0.787","21.3","7.7","3.3","1.7","0.3","2.7","29","24.7","32.3","12.3","136.8","111.6"
"","Franz Wagner","Orl","*","F","24.5","28","31.8","26.3","10.1","174","0.828","313","0.521","115","0.365","0.528","0.591","21.3","5.8","3.6","1.1","0.3","1.7","27","24.9","30.6","9.6","120.6","109.6"
"","Julius Randle","Min","*","F-C","31.3","65","33.2","26.3","14.7","400","0.818","700","0.556","298","0.309","0.528","0.588","21.2","7","5.2","1.1","0.2","2.6","28.2","26.4","33.4","11.1","119.4","107.9"
"","Dillon Brooks","Pho","*","G-F","30.1","50","30.6","28.9","9.4","188","0.856","530","0.502","341","0.343","0.507","0.547","20.9","3.7","1.8","1","0.2","1.8","24.5","22.6","26.3","6.8","109.6","108.1"
"","Brandon Miller","Cha","*","F","23.3","49","30.1","29.5","14.8","182","0.89","409","0.484","401","0.379","0.526","0.57","20.7","5.1","3.4","1.1","0.8","2.9","25.8","24.1","29.2","9.4","111","107.7"
"","Anthony Davis","Dal","*","F-C","33","20","31.3","27.6","10.9","81","0.728","297","0.535","37","0.27","0.521","0.551","20.4","11.1","2.8","1.1","1.7","2.1","31.4","23.2","34.2","11","111.6","107.8"
"","Desmond Bane","Orl","*","G","27.7","63","34.1","23.4","12","253","0.921","616","0.541","331","0.387","0.554","0.606","20.4","4.2","4.2","1","0.5","2","24.6","24.6","28.7","8.3","120.5","109.2"
"","Alperen Sengun","Hou","*","C","23.6","57","33.6","27.2","17.4","314","0.694","805","0.53","103","0.282","0.518","0.554","20.3","9.1","6.1","1.3","1","3.4","29.4","26.4","35.5","12.4","115.6","104.9"
"","Cooper Flagg","Dal","*","F","19.2","53","33.7","25.7","12.1","240","0.804","684","0.516","184","0.299","0.502","0.546","20.1","6.7","4.2","1.2","0.9","2.2","26.8","24.3","31","9.8","109.4","111"
"","Ty Jerome","Mem","*","G-F","28.7","11","21.9","33.4","11.7","51","0.882","79","0.557","72","0.403","0.579","0.634","20","2.7","5.6","1.3","0.2","1.8","22.7","25.6","28.4","12.3","129","109.6"
"","Nickeil Alexander-Walker","Atl","*","G","27.5","62","33.2","24.2","12.3","232","0.892","455","0.508","502","0.38","0.541","0.586","20","3.5","3.7","1.2","0.5","2.2","23.5","23.8","27.2","7.7","112.6","114"
"","Bam Adebayo","Mia","*","C-F","28.6","58","31.7","25.3","10","317","0.782","600","0.508","307","0.329","0.503","0.555","20","9.8","2.9","1.1","0.7","1.7","29.8","22.9","32.7","10.5","114.7","107.2"
"","Karl-Anthony Towns","Nyk","*","C-F","30.3","62","31.3","25.6","15.3","355","0.854","594","0.545","264","0.367","0.547","0.612","20","11.9","2.9","0.9","0.6","2.5","32","22.9","34.8","11.3","122.3","99.8"
"","Jimmy Butler","Gol","*","F","36.5","38","31.1","23.2","11.5","287","0.864","376","0.553","85","0.376","0.555","0.647","20","5.6","4.9","1.4","0.2","1.6","25.6","24.9","30.4","10.5","137","115.2"
"","Jayson Tatum","Bos","*","F-G","28","3","27","33.8","6.6","7","0.857","25","0.52","31","0.29","0.473","0.499","19.7","6.7","3.7","1","0","1.3","26.3","23.3","30","11.7","109.4","108.5"
"","Ja Morant","Mem","*","G","26.6","20","28.4","32.4","18","117","0.897","237","0.473","85","0.235","0.441","0.521","19.5","3.3","8.1","1","0.3","3.6","22.7","27.5","30.8","11.3","107.1","114.1"
"","James Harden","Cle","*","G","36.5","11","33.1","23.2","20","61","0.82","67","0.493","73","0.438","0.579","0.635","19.3","5","7.8","0.5","0.5","3.2","24.3","27.1","32.1","11","124.2","113"
"","Trae Young","Atl","","G","27.5","10","28","28.7","16.1","73","0.863","76","0.5","59","0.305","0.481","0.577","19.3","1.5","8.9","1","0.1","2.6","20.8","28.2","29.7","9.1","120.8","114.4"
"","Bennedict Mathurin","Lac","*","G-F","23.7","12","29.8","29.6","12.5","89","0.854","132","0.492","43","0.186","0.44","0.537","19.2","6.4","2.3","1.2","0.5","2.1","25.6","21.5","27.9","8.8","109.8","107.6"
"","Zach LaVine","Sac","*","G","31","39","31.4","23.7","11.9","142","0.88","293","0.556","254","0.39","0.569","0.614","19.2","2.8","2.3","0.7","0.3","1.9","21.9","21.5","24.2","6.3","114.4","119.8"
"","Jaren Jackson Jr.","Mem","","F-C","26.5","45","30.7","25.6","13","187","0.797","450","0.531","220","0.359","0.534","0.574","19.2","5.8","1.9","1","1.5","2.2","25","21.1","26.9","7.8","107.6","106.5"
"","LaMelo Ball","Cha","*","G","24.6","56","27.6","31.9","14.1","131","0.901","413","0.446","542","0.362","0.501","0.53","19.2","4.8","7.2","1.1","0.2","2.8","24","26.4","31.2","12.6","113.9","106.8"
"","Kon Knueppel","Cha","*","G-F","20.6","65","31.9","22.2","13.3","186","0.871","355","0.563","521","0.438","0.619","0.65","19.2","5.3","3.4","0.8","0.2","2.1","24.5","22.6","27.9","8.8","126","111.5"
"","De'Aaron Fox","San","*","G","28.2","56","31.5","24.8","13.5","197","0.756","510","0.58","311","0.344","0.556","0.585","19","3.7","6.3","1.2","0.3","2.3","22.7","25.3","29","9.7","118","108.2"
"","Jerami Grant","Por","*","F","32","50","29.8","24.1","13.7","303","0.818","347","0.507","301","0.385","0.54","0.607","19","3.5","2.3","0.7","0.6","2.1","22.5","21.2","24.7","7.2","119.6","113.3"
"","Scottie Barnes","Tor","*","F-G","24.6","62","34.3","23.9","15.3","243","0.835","724","0.554","188","0.303","0.533","0.577","19","7.9","5.4","1.4","1.5","2.7","26.9","24.3","32.2","10.9","115.4","106.6"
"","CJ McCollum","Was","","G","34.5","35","30.9","24.4","9.9","102","0.804","285","0.505","244","0.393","0.544","0.573","18.8","3.5","3.6","0.7","0.3","1.7","22.3","22.4","25.9","8","114.7","121.5"
"","RJ Barrett","Tor","*","F-G","25.7","40","30","25.3","10.5","187","0.701","360","0.564","200","0.355","0.553","0.584","18.8","5.4","3.4","0.8","0.3","1.7","24.2","22.1","27.5","9.4","115.4","108.2"
"","Coby White","Chi","","G","26.1","29","29.1","27.4","18.3","154","0.805","185","0.541","208","0.346","0.529","0.586","18.6","3.7","4.7","0.7","0.1","3","22.3","23.3","27","9.4","108.6","113.3"
"","Jalen Duren","Det","*","C","22.3","54","27.8","23.3","13.1","307","0.73","618","0.631","0","0","0.631","0.667","18.6","10.6","1.7","0.9","0.9","1.7","29.1","20.3","30.9","10","132.6","100.8"
"","CJ McCollum","Atl","*","G","34.5","25","28.4","27.2","11.4","95","0.747","214","0.519","159","0.346","0.519","0.552","18.3","3.4","3.8","0.8","0.6","1.9","21.7","22.1","25.5","8.7","109.4","116"
"","DeMar DeRozan","Sac","*","G-F","36.6","65","31.6","22.2","7.9","366","0.863","712","0.514","129","0.326","0.51","0.586","18.1","3","3.8","1.1","0.3","1.1","21.1","21.9","25","7.5","123.1","119.5"
"","Darius Garland","Cle","","G","26.1","26","30.5","25.6","16.2","79","0.861","213","0.521","164","0.36","0.529","0.567","18","2.4","6.9","0.8","0.1","2.8","20.4","24.9","27.3","8.8","114.1","114.7"
"","Bennedict Mathurin","Ind","","G-F","23.7","28","31.8","23","15.2","146","0.884","202","0.48","156","0.372","0.514","0.589","17.8","5.4","2.3","0.6","0.1","2.3","23.1","20","25.4","7.6","109.6","113.5"
"","Josh Giddey","Chi","*","G","23.4","43","31.6","25.6","21.4","202","0.762","365","0.504","213","0.376","0.526","0.571","17.7","8.4","8.7","1","0.4","3.7","26.1","26.4","34.8","13.8","113.3","113.3"
"","Evan Mobley","Cle","*","C","24.7","50","32.5","22.1","12.9","224","0.634","476","0.599","186","0.312","0.562","0.582","17.7","8.6","3.7","0.8","1.9","2","26.4","21.4","30","10.2","118.4","108.7"
"","Amen Thompson","Hou","*","G-F","23.1","62","37.1","20.1","16","305","0.767","714","0.562","99","0.212","0.532","0.58","17.7","7.6","5.3","1.5","0.6","2.5","25.4","23","30.6","9.6","122.5","110.7"
"","Jalen Williams","Okc","*","G-F","24.9","26","29.1","26.3","12","102","0.833","301","0.515","64","0.313","0.507","0.555","17.5","4.7","5.4","1.3","0.3","1.9","22.2","22.9","27.6","10.5","114.5","104.1"
"","Kevin Porter Jr.","Mil","*","G-F","25.9","35","33.4","24.3","17.7","144","0.868","342","0.515","136","0.331","0.509","0.565","17.5","5.2","7.4","2.2","0.5","2.9","22.7","24.9","30","10.5","114.3","113.3"
"","Saddiq Bey","Nor","*","G-F","26.9","59","30.9","21.4","6.4","254","0.839","439","0.535","332","0.349","0.53","0.584","17.5","5.8","2.5","0.9","0.1","0.9","23.3","20","25.7","8.2","125.4","119.2"
"","Derrick White","Bos","*","G","31.7","63","34.3","23.1","10.3","180","0.9","410","0.485","551","0.327","0.488","0.529","17.5","4.5","5.7","1.2","1.5","1.7","21.9","23.2","27.6","8.9","118.3","113.6"
"","Miles Bridges","Cha","*","F","28","61","31.8","22.8","9.5","216","0.833","478","0.533","382","0.322","0.511","0.554","17.4","5.9","3.4","0.6","0.5","1.5","23.3","20.7","26.7","8.9","118.1","112.6"
"","Aaron Gordon","Den","*","F","30.5","25","27.7","23.4","7.8","121","0.793","182","0.56","112","0.393","0.571","0.622","17.3","6.2","2.6","0.7","0.2","1","23.5","19.8","26","9.4","128.6","113.9"
"","Grayson Allen","Pho","*","G","30.4","42","30","23.9","10.9","133","0.865","184","0.516","397","0.355","0.528","0.569","17.3","3","4.1","1.4","0.3","1.7","20.4","21.5","24.5","8","119.1","112.1"
"","Chet Holmgren","Okc","*","C-F","23.9","56","29.3","22.1","12.2","232","0.784","445","0.64","202","0.356","0.607","0.646","17.3","9","1.8","0.5","1.9","1.6","26.3","19","28.1","8.9","124.9","101"
"","Immanuel Quickley","Tor","*","G","26.7","61","32.5","21.5","10.6","195","0.815","384","0.529","429","0.375","0.547","0.583","17.2","4.1","6.1","1.2","0.1","1.6","21.3","23.3","27.5","9.3","121.5","110.8"
"","Andrew Nembhard","Ind","*","G-F","26.1","50","31.4","23.9","15.7","201","0.811","411","0.491","265","0.362","0.512","0.559","17.1","2.8","7.4","0.9","0.1","2.5","19.9","24.5","27.3","9","113.2","116.8"
"","Alexandre Sarr","Was","*","C","20.9","43","27.8","25.6","10.7","134","0.687","472","0.54","129","0.349","0.537","0.558","17.1","7.7","2.7","0.8","2","1.7","24.8","19.9","27.5","10.2","113.9","116.6"
"","Kristaps Porzingis","Atl","","F-C","30.6","17","24.3","26.4","7.1","81","0.84","124","0.524","86","0.36","0.531","0.592","17.1","5.1","2.7","0.5","1.3","0.9","22.2","19.8","24.9","10.2","123.3","105.4"
"","Darius Garland","Lac","*","G","26.1","4","25.8","30.9","17.8","11","0.727","27","0.444","28","0.429","0.545","0.568","17","2.8","5.8","0.8","0","3","19.8","22.8","25.5","10.1","110.1","114.1"
"","Nikola Vucevic","Chi","","C","35.4","48","30.8","21.7","9.5","74","0.838","442","0.568","218","0.376","0.567","0.585","16.9","9","3.8","0.7","0.6","1.4","25.9","20.6","29.6","10.8","120.2","112.4"
"","Payton Pritchard","Bos","*","G","28.1","63","32.5","21.2","8.7","114","0.868","421","0.568","448","0.362","0.555","0.578","16.9","4.1","5.4","0.8","0.1","1.3","21","22.2","26.3","8.9","126.7","114.4"
"","Ryan Rollins","Mil","*","G","23.7","62","32.3","23.6","16.2","123","0.772","480","0.506","370","0.405","0.551","0.57","16.6","4.7","5.5","1.5","0.4","2.6","21.3","22.1","26.8","9.3","110.3","112.7"
"","Jrue Holiday","Por","*","G","35.7","37","28.9","23.7","17.9","78","0.821","250","0.544","236","0.386","0.561","0.585","16.5","4.4","6.2","1.2","0.1","2.9","20.9","22.7","27.1","10.6","117.4","114.9"
"","O.G. Anunoby","Nyk","*","F-G","28.7","52","33.2","19.9","13.7","171","0.801","330","0.582","305","0.367","0.567","0.603","16.5","5.3","2.2","1.7","0.7","1.9","21.8","18.7","24","7","116.8","107.9"
"","Stephon Castle","San","*","G","21.4","55","29.7","24.9","20.7","309","0.725","464","0.534","194","0.304","0.511","0.565","16.3","4.9","6.9","1.3","0.3","3.1","21.2","23.2","28.1","11","113.4","103.1"
"","Collin Sexton","Chi","*","G","27.2","12","25.1","25.5","16.2","37","0.811","72","0.597","67","0.388","0.59","0.625","16.2","2.2","2.1","1.3","0.1","2.3","18.3","18.3","20.4","6.7","109.4","112.2"
"","Onyeka Okongwu","Atl","*","F-C","25.2","59","31.4","20.2","13.1","158","0.766","404","0.564","317","0.391","0.574","0.6","16.1","7.8","3.3","1.2","1.1","1.8","23.9","19.3","27.2","9.5","117.4","106.2"
"","Dejounte Murray","Nor","*","G","29.5","6","25.7","27.4","23.5","28","0.893","42","0.595","26","0.269","0.522","0.598","16","5.3","5.3","1.8","0.3","3.5","21.3","21.3","26.7","11.9","109.2","107.1"
"","Paul George","Phi","*","F","35.9","27","30.5","22.1","11","76","0.855","181","0.464","173","0.382","0.517","0.556","16","5.2","3.7","1.5","0.5","1.6","21.1","19.7","24.9","8.9","113.5","110.8"
"","Andrew Wiggins","Mia","*","F","31","57","31","20","11.2","137","0.788","438","0.523","283","0.399","0.553","0.579","15.9","5.1","2.8","1.1","1","1.6","21","18.7","23.8","7.9","116.1","109.5"
"","Domantas Sabonis","Sac","*","F-C","29.9","19","29.7","23","18.7","77","0.727","194","0.593","27","0.185","0.554","0.59","15.8","11.4","4.1","0.9","0.2","2.7","27.2","19.9","31.3","12.2","116.1","107.9"
"","Matas Buzelis","Chi","*","F","21.4","64","28.7","22.4","14.4","196","0.781","381","0.58","381","0.365","0.564","0.597","15.8","5.5","2.1","0.7","1.5","2","21.3","17.9","23.4","7.9","110.1","112.2"
"","Cam Thomas","Bro","","G","24.4","24","24.2","30.2","13.5","107","0.841","191","0.445","117","0.325","0.461","0.527","15.6","1.8","3.1","0.2","0.1","2","17.4","18.7","20.5","7.3","104.5","121.1"
"","Russell Westbrook","Sac","*","G","37.3","61","28.9","26.1","19.8","173","0.711","446","0.502","362","0.343","0.507","0.533","15.5","5.4","6.5","1.3","0.2","3.3","20.9","22","27.4","11.3","104.7","114.9"
"","Jalen Green","Pho","*","G","24.1","17","23.4","33.1","12.3","42","0.762","132","0.47","124","0.282","0.447","0.475","15.4","3.2","2.4","1.1","0.1","2.1","18.6","17.7","20.9","8.4","95.4","113.7"
"","VJ Edgecombe","Phi","*","G","20.6","58","35.1","19.5","12.2","142","0.81","439","0.481","332","0.358","0.505","0.536","15.4","5.5","3.9","1.5","0.5","1.8","20.9","19.3","24.8","7.9","112.2","111.1"
"","Jabari Smith Jr.","Hou","*","F","22.8","60","34.9","17.8","9.7","162","0.778","375","0.539","360","0.367","0.544","0.574","15.4","6.8","1.8","0.8","1","1.3","22.3","17.3","24.1","6.6","121.1","109.5"
"","Anthony Black","Orl","*","G","22.1","60","30.7","22.1","14.5","215","0.73","453","0.521","284","0.338","0.516","0.551","15.3","3.9","3.8","1.4","0.7","2.1","19.2","19.1","23","7.9","108.5","108.1"
"","Jarrett Allen","Cle","*","C","27.9","51","27.5","19.4","12.5","229","0.725","471","0.648","10","0.1","0.637","0.67","15.3","8.5","1.9","1","0.9","1.4","23.7","17.2","25.6","9.1","133.4","108.8"
"","Anfernee Simons","Chi","*","G","26.8","6","28.4","23.6","13.9","5","1","30","0.633","50","0.32","0.538","0.554","15.2","2.8","3","0","0.3","2.2","18","18.2","21","7.1","103.3","117.5"
"","Mikal Bridges","Nyk","*","G-F","29.5","66","33.7","17.5","7.9","81","0.827","465","0.578","347","0.38","0.575","0.59","15.2","4.1","4","1.4","0.8","1.1","19.3","19.1","23.2","7.5","126","111"
"","Jaime Jaquez Jr.","Mia","*","G","25.1","61","28.7","22","15","193","0.762","609","0.547","127","0.291","0.528","0.563","15.1","5.3","4.7","0.8","0.3","2.1","20.4","19.8","25.1","10.1","113.4","109.8"
"","Naji Marshall","Dal","*","F","28.1","62","29.5","19.7","12.3","248","0.766","482","0.608","174","0.299","0.566","0.609","15","4.7","3.1","1","0.1","1.5","19.7","18.1","22.8","8.2","119.8","111.7"
"","Ayo Dosunmu","Chi","","G","26.1","45","26.4","21","11.1","105","0.857","293","0.556","193","0.451","0.604","0.636","15","3","3.6","0.8","0.3","1.4","18.1","18.7","21.7","8.3","124.5","115.9"
"","Peyton Watson","Den","*","G","23.5","49","30.6","20.2","13.9","176","0.727","352","0.537","180","0.417","0.567","0.6","14.9","4.9","2","1","1.2","1.8","19.8","16.9","21.8","6.9","113","111.9"
"","Kyshawn George","Was","*","F","22.2","48","29","22.8","17.8","131","0.802","317","0.486","260","0.381","0.524","0.559","14.8","5.1","4.5","1","0.9","2.6","19.9","19.3","24.4","9.6","107.8","112.9"
"","Jaden McDaniels","Min","*","F","25.4","63","31.9","18.2","14.4","159","0.849","469","0.559","214","0.421","0.581","0.617","14.7","4.3","2.8","1.1","1","1.8","19.1","17.5","21.9","7","118.7","107.3"
"","Kelly Oubre Jr.","Phi","*","F-G","30.3","41","32.4","18.4","11.4","137","0.759","253","0.545","205","0.361","0.544","0.581","14.7","4.9","1.7","1.3","0.5","1.4","19.5","16.4","21.3","6.1","114.4","111.8"
"","Trae Young","Was","*","G","27.5","2","18.4","31.9","31.4","14","0.643","5","0.8","10","0.4","0.667","0.685","14.5","3","7","1","0","3.5","17.5","21.5","24.5","14.6","123.8","117.7"
"","Walker Kessler","Uta","*","C","24.6","5","30.8","16.6","30","20","0.7","29","0.69","8","0.75","0.784","0.786","14.4","10.8","3","1.4","1.8","3.2","25.2","17.4","28.2","10.1","130","107.4"
"","Ivica Zubac","Lac","*","C","29","43","30.9","19","16","132","0.705","429","0.613","0","0","0.613","0.635","14.4","11","2.2","0.4","0.8","1.9","25.4","16.6","27.6","9.1","126.1","108.7"
"","Ajay Mitchell","Okc","*","G","23.7","44","26.3","22.4","12.6","136","0.875","331","0.55","141","0.348","0.541","0.592","14.3","3.4","3.6","1.4","0.3","1.5","17.8","18","21.4","8.5","118.4","103.7"
"","Devin Vassell","San","*","G-F","25.5","52","30.6","18.4","7.5","101","0.802","261","0.513","341","0.381","0.547","0.572","14.2","3.9","2.4","0.8","0.4","0.9","18.1","16.6","20.5","6.7","116.8","110.6"
"","Anfernee Simons","Bos","","G","26.8","49","24.5","23.7","9","72","0.889","239","0.502","329","0.395","0.555","0.579","14.2","2.4","2.4","0.6","0.1","1.1","16.6","16.5","18.9","7.1","119","112.3"
"","Collin Sexton","Cha","","G","27.2","42","22.3","25.7","17.7","154","0.877","269","0.539","145","0.393","0.557","0.619","14.2","1.9","3.7","0.9","0.2","2.1","16.1","17.9","19.8","8.3","119.9","111.1"
"","Keegan Murray","Sac","*","F","25.6","23","34.5","18.6","8.2","49","0.776","188","0.505","112","0.277","0.472","0.499","14","5.7","1.7","1","1.6","1.2","19.7","15.6","21.3","6","103.7","119.4"
"","De'Andre Hunter","Cle","","F-G","28.3","43","26.2","22.8","12.8","137","0.869","245","0.535","237","0.308","0.499","0.553","14","4.2","2.1","0.7","0.2","1.7","18.2","16","20.3","7.6","109","108.5"
"","Tim Hardaway Jr.","Den","*","G-F","34","64","27.4","18.4","5.1","163","0.81","195","0.569","439","0.41","0.601","0.633","14","2.6","1.3","0.5","0.1","0.5","16.6","15.3","17.9","5.3","125.4","118.1"
"","Santi Aldama","Mem","*","F-C","25.2","43","27.9","20.1","10.4","114","0.667","276","0.572","200","0.35","0.553","0.572","14","6.7","2.9","0.9","0.7","1.3","20.7","16.9","23.6","9.3","117.3","113"
"","P.J. Washington","Dal","*","F","27.5","47","30.8","20.5","13.7","160","0.675","360","0.508","190","0.311","0.494","0.525","13.9","6.8","1.9","1","1.2","1.9","20.7","15.7","22.6","7.3","102.2","110.1"
"","Jordan Poole","Nor","*","G","26.7","33","24.5","25","13.4","100","0.88","135","0.437","247","0.34","0.484","0.538","13.9","2.1","3.1","0.6","0.4","1.8","16","16.9","19","7.3","107.4","115.2"
"","Naz Reid","Min","*","C-F","26.5","64","26.1","21.8","12.5","97","0.701","331","0.577","387","0.375","0.569","0.582","13.8","6.4","2.4","1","1","1.6","20.2","16.2","22.6","9.1","113.4","105.1"
